Area,Homeownership_Rate,Renter_Rate
310400,58.43,41.57
310501,14.96,85.04
310601,22.47,77.53
310602,44.22,55.78
310701,13.95,86.05
310702,12.31,87.69
310703,7.15,92.85
310800,50.12,49.88
310900,65.15,34.85
311000,56.74,43.26
311100,76.29,23.71
311200,47.25,52.75
311300,64.76,35.24
311400,67.29,32.71
311500,37.96,62.04
311600,20.68,79.32
311700,57.51,42.49
311801,14.69,85.31
311802,13.44,86.56
320000,,
320100,69.46,30.54
320201,15.33,84.67
320202,68.48,31.52
320300,47.76,52.24
400204,90.37,9.63
400205,93.87,6.13
400206,90.4,9.6
400207,90.2,9.8
400302,56.43,43.57
400304,54.41,45.59
400402,81.78,18.22
400403,73.09,26.91
400404,89.46,10.54
400501,92.62,7.38
400602,49.92,50.08
400603,69.98,30.02
400604,63.66,36.34
400800,83.14,16.86
400900,66.6,33.4
401001,91.45,8.55
401002,36.12,63.88
401101,44.52,55.48
401102,48.68,51.32
401201,79.93,20.07
401202,80.22,19.78
401203,69.85,30.15
401303,94.58,5.42
401304,92.54,7.46
401311,61.42,38.58
401312,82.5,17.5
401500,70.34,29.66
401601,73.8,26.2
401602,52.39,47.61
401603,68.27,31.73
401701,73,27
401703,36.88,63.12
401704,48.88,51.12
401800,72.36,27.64
401901,22.86,77.14
401902,44.38,55.62
402001,50.5,49.5
402002,51.45,48.55
402101,74,26
402102,66.34,33.66
402200,61.12,38.88
402301,46.07,53.93
402303,34.33,65.67
402304,28.7,71.3
402402,52.05,47.95
402403,83.74,16.26
402404,,
402405,82.19,17.81
402406,44.58,55.42
402501,29.96,70.04
402502,29.82,70.18
402600,49.98,50.02
402702,18.83,81.17
402703,58.62,41.38
402705,87.91,12.09
402706,64.08,35.92
402801,33.5,66.5
402803,33.65,66.35
402804,27.74,72.26
402902,50.03,49.97
402903,53.19,46.81
402904,76.41,23.59
403000,72.12,27.88
403200,,
403303,88.87,11.13
403304,83.26,16.74
403305,72.82,27.18
403312,82.36,17.64
403316,75.59,24.41
403317,87.53,12.47
403318,80.93,19.07
403319,63.8,36.2
403320,79.92,20.08
403321,76.4,23.6
403322,76.73,23.27
403323,72.92,27.08
403324,83.35,16.65
403325,82,18
403401,76.17,23.83
403402,82.85,17.15
403403,95.82,4.18
403404,83.25,16.75
403405,89.96,10.04
403406,69.85,30.15
403407,92.79,7.21
403408,90.4,9.6
403500,68.29,31.71
403600,64.9,35.1
403702,82.47,17.53
403703,87.84,12.16
403721,68.75,31.25
403722,42.5,57.5
403801,61.71,38.29
403802,59.29,40.71
403901,81.26,18.74
403902,77.36,22.64
404000,58.14,41.86
404100,61.88,38.12
404201,48.47,51.53
404202,51.16,48.84
404301,40.54,59.46
404302,65.64,34.36
404401,48.34,51.66
404402,62.11,37.89
404501,46.52,53.48
404503,76.83,23.17
404504,36.18,63.82
404600,68.91,31.09
404701,57.68,42.32
404702,52.11,47.89
404703,41.43,58.57
404801,50.73,49.27
404802,43.34,56.66
404803,73.05,26.95
404901,68.57,31.43
404902,71.58,28.42
404903,59.91,40.09
405001,77.7,22.3
405002,57.39,42.61
405101,64.7,35.3
405102,53.11,46.89
405201,56.17,43.83
405202,47.54,52.46
405203,55.35,44.65
405301,46.31,53.69
405302,62.15,37.85
405400,82.83,17.17
405500,77.06,22.94
405600,74.97,25.03
405701,67.02,32.98
405702,60.57,39.43
405800,69.86,30.14
405900,75.15,24.85
406000,71.63,28.37
406101,35.4,64.6
406102,27.51,72.49
406200,42.28,57.72
406300,75.78,24.22
406402,89.3,10.7
406411,78.01,21.99
406412,87.55,12.45
406500,68.87,31.13
406601,90.02,9.98
406602,69.8,30.2
406701,59.7,40.3
406702,55.74,44.26
406800,80.52,19.48
406901,55.86,44.14
406902,72.37,27.63
407001,84.97,15.03
407002,77.76,22.24
407101,65.94,34.06
407102,69.32,30.68
407200,72.65,27.35
407301,66.24,33.76
407302,80.93,19.07
407400,82.94,17.06
407501,58.9,41.1
407502,64.21,35.79
407601,30.48,69.52
407602,62.6,37.4
407701,41.98,58.02
407702,73.62,26.38
407801,89.86,10.14
407802,79.47,20.53
407900,82.28,17.72
408003,84.06,15.94
408004,46.22,53.78
408005,73.08,26.92
408006,39.57,60.43
408133,41,59
408134,75.91,24.09
408135,59.48,40.52
408136,77.67,22.33
408137,40.93,59.07
408138,70.41,29.59
408139,65.95,34.05
408140,65.66,34.34
408141,77.59,22.41
408202,52.19,47.81
408211,49.24,50.76
408212,79.18,20.82
408301,69.17,30.83
408302,81.57,18.43
408303,86.42,13.58
408401,67.43,32.57
408402,92.85,7.15
408501,60.15,39.85
408503,90.08,9.92
408504,58.48,41.52
408505,90.73,9.27
408623,72,28
408624,84.97,15.03
408625,86.96,13.04
408626,67.42,32.58
408627,87.51,12.49
408628,63.85,36.15
408629,83.19,16.81
408630,70.06,29.94
408631,71.55,28.45
408703,86.66,13.34
408704,53.98,46.02
408705,74.06,25.94
408706,94.3,5.7
408722,83.37,16.63
408723,75.25,24.75
408724,10.49,89.51
408800,17.41,82.59
430002,55.88,44.12
430003,96.91,3.09
430101,37.86,62.14
430102,60.47,39.53
430200,64.8,35.2
430301,91.07,8.93
430302,61.18,38.82
