Area,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
403702,0,31.079136
403703,0,20.626633
403721,0,16.038492
403722,0.69169962,44.120552
403801,0,35.031849
403802,0,31.155476
403901,0,41.401276
403902,0,47.316105
404000,0,37.88168
404100,0,27.734806
404201,0,49.782421
404202,0,55.761024
404301,0,42.19381
404302,0,32.402233
404401,1.0480349,36.94323
404402,0,20.413437
404501,0,42.1875
404503,0,37.528091
404504,2.5385313,50.679962
404600,0.25188917,27.455919
404701,0,35.407593
404702,0,40.476189
404703,0,43.078323
404801,0,23.548922
404802,0.40160644,22.329317
404803,0,49.246231
404901,0,18.131868
404902,0,26.712923
404903,0,39.467007
405001,0.96952909,30.886427
405002,0,24.825174
405101,0,22.953737
405102,0,29.879519
405201,0,51.005749
405202,0,24.885696
405203,0,32.978722
405301,0,47.66169
405302,0,25.564457
405400,0,32.588596
405500,0,24.521309
405600,0,18.623785
405701,0,19.042189
405702,0,32.235836
405800,0.51546389,32.538658
405900,0,29.614182
406000,0,35.893013
406101,0,38.150288
406102,0,40.677967
406200,0,23.675386
406300,0,33.305229
406402,0,30.570902
406411,0,23.13253
406412,0,7.6062641
406500,0,25.425791
406601,0,20.882586
406602,0,29.64539
406701,0,14.076576
406702,0,46.784073
406800,0.54347825,32.971016
406901,0.95658571,41.206768
406902,0,31.382317
407001,8.234519,27.40448
407002,0,19.7995
407101,0,25.661915
407102,0,16.938618
407200,0,38.700401
407301,1.7563118,48.737652
407302,0,29.855371
407400,0,23.387096
407501,0.77101004,22.667694
407502,0,24.712645
407601,0,44.122517
407602,0,31.102734
407701,0,57.085022
407702,0,30.87167
407801,0,37.64706
407802,0,24.765869
407900,0,22.782387
408003,0,7.6120958
408004,0,43.772892
408005,2.270663,35.149864
408006,0,38.101265
408133,3.3451958,22.135231
408134,0,21.412804
408135,0,48
408136,0,37.518463
408137,0,53.012047
408138,0,44.018059
408139,0,33.383011
408140,0,41.388176
408141,3.0474842,44.082211
408202,0,49.82143
