Area,Total_Population
602801,3829
602802,3825
602900,4193
603001,7029
603004,1518
603005,5651
603006,2071
603101,4091
603102,3738
603200,3212
603301,3590
603302,4485
603400,4486
603500,3065
603600,4208
603702,5112
603703,2671
603704,6518
603801,4784
603802,4108
603900,7396
604001,4920
604002,4647
604100,7376
609900,2247
620001,4106
620002,3320
620101,5615
620102,3888
620201,1446
620301,5036
620303,4387
620305,5750
620400,5198
620501,6286
620521,3852
620522,4711
620601,5568
620602,5459
620701,6736
620702,6884
620800,8351
620901,2806
620904,2629
621001,4541
621002,999
621004,4504
621102,3108
621104,6595
621201,6247
621204,3070
621301,7309
621324,4016
621326,3047
621400,4510
650001,6061
650003,3116
650004,3828
650101,6081
650102,2245
650200,6153
650300,6750
650401,4616
650501,3132
650502,4388
650602,7743
650603,3868
650604,5935
650605,2937
650701,2451
650702,4729
650800,6854
650901,6102
650902,6160
651001,6146
651002,4898
651101,5348
651102,3937
651201,4739
651221,3318
651222,6242
651302,6408
651304,4452
651401,2513
651402,6439
670001,3518
670002,4065
670003,5605
670100,6815
670201,3799
670202,2710
670324,5225
670326,3488
670328,4901
670403,2663
670405,3024
670406,1880
670407,5994
670411,4398
670413,4902
670416,4139
670500,1820
670602,7598
670701,7067
670702,5382
700101,5686
700102,3699
700200,6785
700300,5679
700400,5322
700501,3931
700502,4230
700600,4998
700700,3578
700801,6194
700802,3418
700901,3771
700902,7153
701000,5551
701100,988
701201,4010
701202,3262
701302,4768
701304,6300
701402,6214
701501,4842
701502,4130
701601,4656
701602,4397
701701,3578
701702,3200
701801,5965
701802,4378
701902,4227
702002,6001
702102,6151
702201,4983
702202,3940
702300,7167
702400,4162
702501,4424
702502,4256
702600,5979
702700,3804
702801,5629
702802,2434
702803,3214
702901,9289
703001,5885
703002,7769
703100,5524
703200,6124
800101,5648
800102,6874
800202,6114
800203,5375
800204,4790
800324,6414
800325,3454
800326,5129
800327,5656
800328,2901
800329,6731
800330,1077
800331,853
800332,6571
800406,2664
800408,7306
800410,4103
800504,2274
800506,3272
900102,691
900103,5944
900104,6228
900201,1058
900300,4318
900501,6429
900504,6294
900505,4034
900506,4848
900507,7890
900508,3514
900602,5664
900605,7932
900606,4163
900607,3653
900608,3551
900609,5600
900701,4293
900703,3729
900704,2860
900705,4118
900803,9559
900804,3196
900805,4401
900806,4350
900900,3603
901003,5588
901004,12420
901007,2068
901008,2944
901009,5766
901010,6036
901011,5024
901101,4974
901102,5476
901205,11642
901209,1187
901210,1554
901213,3652
910001,5941
910002,7139
910101,1681
910201,3633
910202,5508
910205,1362
910206,3466
910207,5932
910208,6556
910209,4313
910210,7112
910301,4225
910302,5710
910401,6828
910402,3582
910403,2421
910404,3710
910501,5716
910502,3792
910504,4828
910505,3049
910601,7212
910602,3966
910603,6782
910605,4756
910606,3366
910705,12916
910706,6171
910707,4591
910709,1703
910711,8997
910712,2575
910713,6074
910714,4111
910715,6393
910716,5663
910804,2893
910805,4818
910807,6241
910808,3478
910809,2195
910810,2886
910811,143
910812,475
910813,3782
911001,4087
920011,275
920012,1004
920013,4901
920015,6233
920016,5153
920017,4802
920018,2341
920020,7149
920023,3021
920026,375
920028,6405
920029,3454
920030,6051
920031,5279
920032,3230
920033,738
920034,3748
920035,8088
920036,3344
920037,7725
920038,4637
920039,2075
920040,3529
920041,3078
920042,7073
920043,6233
920044,2894
920045,4932
920102,5643
920104,2996
920106,3271
920107,4716
920108,4444
920109,5517
920110,3534
920111,3190
920112,3999
920114,6814
920115,4003
920116,5086
920118,6268
920119,2042
920200,6051
920303,1407
920312,5522
920313,5598
920314,2944
920322,2976
920326,6651
920328,2089
920329,5834
920330,5799
920331,4301
920332,2472
920334,6263
920336,6362
920337,7549
920338,6412
920339,7199
930101,157
930200,441
930301,869
980001,
980002,
980003,
980004,
980005,
980006,
980007,
980008,124
980009,
980010,139
980013,
980014,70
980015,347
980018,
980019,214
