Area,College_Graduation_Rate,Less_Than_High_School
240402,6.1755624,35.200706
240500,4.8409796,53.194485
240600,5.7904763,50.704762
240700,5.0943398,47.223721
240800,6.8613138,36.642334
240900,6.4269805,46.738785
241001,8.386838,41.853931
241002,3.5262206,44.620255
241110,4.402895,50.603138
241120,9.9741411,43.849281
241201,6.6700354,36.17989
241202,4.4055943,45.419579
241300,11.764706,31.297134
241400,5.3911204,41.067654
242000,3.5542748,44.284344
242100,0.8563273,52.711704
242200,4.4621239,42.995502
242300,5.6458898,38.121048
242600,1.1958146,58.046837
242700,4.7511311,48.83107
243000,4.3339152,49.534615
243100,3.6295369,60.763454
261101,72.3255,2.7709575
261102,71.648354,1.2872841
261200,75.385651,1.8443997
262100,67.413261,3.9964867
262200,77.890045,1.8424963
262301,79.609543,1.2472885
262302,80.876122,1.4130946
262303,77.186485,2.0823693
262400,79.981293,2.385407
262501,82.710823,2.502888
262601,77.702194,2.1541951
262604,76.541412,1.2455885
262704,75.099922,1.518785
262706,77.172607,1.0812975
262802,79.070663,0
264000,84.166313,2.4779503
264102,79.990883,2.0054696
264103,79.001884,2.212806
264301,76.533272,3.1730998
264302,74.307419,1.1394101
265100,64.094269,3.2347505
265201,68.972466,2.2162526
265202,77.938377,2.9288702
265301,5.4373522,0
265303,70.76326,1.5523933
265304,71.138847,11.856474
265305,81.46479,1.2394366
265410,73.015877,1.5873016
265420,79.912346,5.6975894
265510,84.218575,2.4455483
265520,76.470589,2.5859618
265601,64.264,1.3460703
265602,67.198654,5.7538848
265700,71.890968,3.017766
267100,68.931122,8.9198341
267200,64.644257,5.4561329
267300,66.895981,4.7605944
267402,69.707748,2.6937737
267403,74.786324,4.3162394
267404,74.322777,6.486074
267501,56.654152,17.167292
267502,54.55238,11.619047
267600,55.590622,7.754734
267700,62.130802,11.954993
267800,68.617737,4.8626742
267901,60.723129,3.0708272
267902,75.652176,0.98814231
269000,66.212929,3.1113272
269100,63.916084,6.7482519
269300,81.871544,1.9337016
