Area,No_Vehicle_Households
431300,2.9953916
431400,2.29249
431501,6.4950261
431502,7.8204198
431600,3.7781351
431700,6.9617105
431800,3.8563128
431900,3.9943938
432000,6.6492343
432101,2.2438295
432102,1.3221154
432201,15.270164
432202,5.3877549
432300,5.8871627
432401,7.183908
432402,10.523561
432500,9.1865644
432601,5.5
432602,6.8317676
432700,5.8259587
432801,27.835052
432802,8.8466578
432901,9.2417059
432902,4.043716
433101,13.755796
433102,8.512331
433200,12.606061
433302,19.912472
433304,12.773723
433305,8.0933847
433306,9.4159718
433307,6.6740823
433401,9.103261
433402,7.0189924
433403,16.999203
433501,15.285451
433503,8.2321186
433504,19.873531
433601,6.6920152
433602,18.661518
433700,6.0445385
433801,6.0315285
433802,3.6697247
433901,10.39886
433902,5.6485357
434001,4.9242425
434003,9.5706615
434004,6.6052227
460000,2.0238094
460100,0
460200,4.495913
460301,4.060606
460302,4.9446492
460401,0
460501,0.93150687
460502,1.2747875
460600,0
460700,0.58214748
460800,0.55955237
460900,5.2874742
461000,4.2915931
461100,4.3589745
461200,5.0144091
461300,7.3341093
461400,18.036713
461501,13.333333
461502,16.454159
461600,12.623046
461700,1.4970059
461901,12.208937
461902,24.551464
462001,18.535263
462002,22.182787
462100,5.2204175
462201,32.085857
462202,7.8034682
462301,11.523545
462302,11.397849
462400,7.6685219
462500,3.442189
462600,4.0243902
462700,6.7617297
462800,11.655874
462900,3.4892354
463000,2.1134593
463101,4.3123541
463102,6.4180398
463200,9.0209789
463300,6.2358274
463400,5.7730327
463500,18.419033
463601,11.521676
463602,19.637562
463700,4.417089
463800,0
463900,10.21148
464000,1.0208088
464100,4.8373985
464200,2.4460433
480002,3.3744855
480011,2.0647321
480012,3.4167175
480101,5.1464767
480102,9.3267879
480201,6.2451811
480202,4.6789989
480302,7.2195706
480303,4.5643153
480304,19.838524
480400,3.42556
480500,4.7756872
480600,4.8139396
480702,1.0563381
480703,0.66006601
480704,4.5239348
480802,4.9230771
480803,2.5510204
480804,8.6380501
480901,8.2234774
480902,12.56175
480903,14.48203
481001,19.510386
481002,8.3500004
481101,12.049862
481102,5.5209951
481103,3.6960986
481201,6.0380478
481202,6.1259217
481300,1.150748
481401,5.393743
481402,7.8244276
481500,10.161508
481603,7.5320511
481604,4.6563191
481605,4.2532148
481606,6.7524114
481711,13.124534
481712,17.857143
481713,12.615741
481714,16.824644
481800,5.326087
481901,7.0791821
481902,8.2854795
482001,5.6365404
482002,5.8474188
482101,10.014006
482102,3.6717062
482201,21.656052
482202,4.845222
482301,5.8475204
482303,7.5826311
482304,10.950413
482401,5.1619434
482402,5.3144374
482502,6.4242425
482503,5.7337222
482521,3.7212448
482522,4.9900198
482600,6.0673161
482701,5.1262431
482702,3.4351146
482800,5.9514489
500100,2.3870418
500201,0.55443549
500202,2.0763564
500300,1.6100179
500402,9.3100586
500403,5.1803885
500404,5.3364267
500500,13.513514
500600,8.6767893
500700,2.8622541
500800,10.526316
500900,7.1698112
501001,1.6393442
501002,0.71073204
501200,4.4415417
501300,2.7722771
501400,6.826241
501501,2.0737326
501503,8.648057
501504,20.958084
501600,5.1610055
501700,6.0200667
501802,5.1571312
501803,12.267402
501804,16.713484
501900,0.75244546
502003,1.908397
502004,6.8855934
502005,2.3293173
502100,11.805555
502200,5.7400112
502301,2.1722846
502302,19.200001
502401,7.0859871
502402,2.347919
502500,12.395929
502601,3.6231885
502602,9.4029846
502700,5.6500273
502801,2.1578648
502802,15.944881
502901,1.5873016
502902,5.4025426
503000,4.940239
503103,1.1484098
503104,0.85034013
503105,1.061776
503106,12.868369
503201,1.268116
503202,10.558531
503301,1.9267823
503302,3.8628945
503401,5.2360516
503402,2.8550513
503501,5.9679036
503502,2.9790661
503601,2.4431341
503602,3.2706459
503701,7.8316774
503702,4.3076925
503703,6.9886947
503801,0.89722675
503802,1.5180266
503901,1.8270402
503902,1.1887072
504001,10.627177
504002,3.585927
504101,9.0974216
504102,
530003,3.0181086
530004,6.06777
530005,6.6752248
530006,11.259676
530101,14.149354
530102,12.377663
530202,7.2957969
530203,9.3816633
530204,6.6151204
530301,22.780569
530302,6.5370069
530400,25.892857
530500,19.308599
530601,7.6049943
530602,7.7319589
530700,12.956204
530801,11.004785
530802,10.861865
530901,4.3524418
530902,22.751799
531000,7.7099237
531101,21.563786
531102,20.022753
531201,10.677291
531202,18.822479
531301,11.606457
531302,13.404114
531502,9.090909
531503,18.610746
531504,17.922794
531602,19.224283
531603,6.7375889
531604,17.316017
531701,11.750973
531702,12.450437
531800,9.6385546
531901,9.4474154
531902,5.9797606
532001,18.612818
532002,13.908629
532101,9.0084982
532102,6.359447
532200,12.912087
532302,4.5780969
532303,11.567732
532304,17.102804
532400,
532500,6.5693431
532603,9.7260275
532604,25.341427
532605,23.392857
532606,23.021002
532700,4.6012268
532800,14.830072
532900,15.536375
533001,16.895874
533002,17.532467
533103,27.209303
533104,36.934074
533105,18.387096
533106,19.570406
533107,10.275424
533201,14.413075
533202,6.5599999
533203,10.025063
533300,10.800971
533401,7.6719575
533402,17.846153
533403,24.383163
533501,10.751295
533502,8.5774059
533503,13.552361
533601,12.511415
533602,11.451495
533603,11.659966
533701,19.169329
533702,6.9988136
533703,4.3699188
533803,13.084665
533804,12.236629
533805,4.2437434
533806,8.7591238
533901,5.6439943
533902,5.0108933
534001,7.0512819
534002,12.266112
534101,6.4516129
534102,7.0588236
534201,6.9582505
534202,13.492064
534203,10.864198
534301,11.466666
534302,7.1342201
534403,5.570652
534404,15.6283
534405,13.487882
534406,6.9164267
534501,6.8221073
534502,4.8923678
534700,3.822314
534802,14.349113
534803,20.977777
534804,10.635965
534900,20.162933
535001,13.241107
535002,15.864759
535101,13.765643
535102,22.128059
535200,9.5826893
535300,7.315341
535400,12.116992
535501,11.959799
535502,12.023217
535503,16.551723
535603,11.713933
535604,5.3149605
535605,21.73913
535606,9.5435686
535607,5.651341
535701,8.6006823
535702,13.800905
535802,7.7658305
535803,3.9667897
535804,5.0914879
535901,5.9914408
535902,1.3548387
536000,9.0270815
